"word","freq"
"world",160
"conservation",157
"global",135
"areas",120
"climate",120
"species",115
"biodiversity",106
"will",105
"protected",102
"water",96
"development",96
"heritage",93
"governance",90
"gender",89
"environmental",88
"members",87
"policy",84
"marine",80
"report",75
"nature",71
"support",70
"services",68
"iucns",68
"donors",65
"forests",65
"international",64
"years",64
"law",64
"business",63
"rights",63
"science",62
"commissions",61
"work",61
"conserved",60
"secretariat",59
"strategic",57
"polar",54
"thanks",53
"new",53
"supporters",52
"programme",52
"economics",51
"message",51
"seventy",51
"management",51
"annual",50
"orientations",50
"overview",50
"contents",49
"dgs",48
"opening",48
"environment",48
"countries",47
"sustainable",45
"national",44
"restoration",44
"natural",39
"ecosystems",39
"action",36
"list",36
"foundation",35
"switzerland",35
"sites",35
"projects",33
"solutions",33
"organisations",32
"indigenous",32
"government",31
"congress",30
"initiative",30
"partners",29
"help",28
"gland",28
"land",28
"convention",27
"continue",26
"agency",26
"data",25
"commission",25
"supported",25
"france",23
"director",23
"continued",23
"union",22
"use",22
"communities",22
"governments",22
"resources",22
"africa",22
"asia",22
"assessments",22
"forest",22
"framework",22
"ecosystem",21
"impact",21
"peoples",21
"key",21
"regional",21
"first",21
"well",21
"project",21
"partnership",21
"european",21
"provided",21
"challenges",20
"cooperation",20
"local",20
"provide",20
"area",20
"targets",20
"impacts",20
"people",19
"major",19
"technical",19
"conference",18
"society",18
"general",18
"best",18
"knowledge",18
"part",18
"green",18
"can",17
"resource",17
"million",17
"towards",17
"develop",17
"red",17
"legal",17
"anniversary",16
"life",16
"set",16
"experts",16
"membership",16
"america",16
"address",16
"developed",16
"oil",16
"ministry",16
"forum",15
"sector",15
"meeting",15
"benefits",15
"economic",15
"central",15
"committee",15
"number",15
"organisation",15
"ensure",15
"risk",15
"effective",15
"used",15
"landscape",15
"guidance",15
"naturebased",15
"agreement",14
"around",14
"french",14
"year",14
"progress",14
"provides",14
"state",14
"equality",14
"published",14
"working",14
"planning",14
"women",14
"coastal",14
"together",13
"goals",13
"guidelines",13
"europe",13
"improve",13
"policies",13
"future",13
"achieving",13
"assess",13
"funding",13
"increase",13
"threatened",13
"wildlife",13
"launched",13
"facility",13
"session",13
"united",12
"adaptation",12
"better",12
"loss",12
"strengthen",12
"social",12
"tools",12
"information",12
"west",12
"across",12
"decade",12
"inclusive",12
"challenge",12
"palm",12
"publications",12
"upcoming",12
"protection",12
"civil",11
"engagement",11
"human",11
"made",11
"right",11
"council",11
"energy",11
"achieve",11
"efforts",11
"enable",11
"implement",11
"caribbean",11
"diversity",11
"four",11
"region",11
"staff",11
"advice",11
"guide",11
"practice",11
"financial",11
"assessment",11
"german",11
"helped",11
"ocean",11
"outlook",11
"plans",11
"colombia",11
"mangroves",11
"andersen",10
"bonn",10
"community",10
"country",10
"inger",10
"next",10
"private",10
"significant",10
"analysis",10
"public",10
"standards",10
"states",10
"trade",10
"developing",10
"events",10
"two",10
"based",10
"now",10
"threats",10
"strategy",10
"federal",10
"revealed",10
"funded",10
"worked",10
"leadership",9
"resilience",9
"scientific",9
"throughout",9
"network",9
"recommendations",9
"status",9
"east",9
"north",9
"portfolio",9
"resolutions",9
"restore",9
"south",9
"advancing",9
"increased",9
"implementation",9
"womens",9
"monitoring",9
"sdg",9
"platform",9
"bank",9
