"word","freq"
"global",217
"emissions",190
"confidence",183
"ssp",177
"box",175
"warming",173
"high",155
"spm",139
"climate",131
"changes",119
"likely",107
"temperature",98
"regions",89
"atlas",83
"surface",82
"scenarios",77
"land",73
"observed",72
"increase",70
"medium",70
"ghg",67
"ocean",67
"projected",67
"crosschapter",65
"precipitation",65
"level",62
"low",59
"america",56
"mean",51
"sea",50
"since",49
"human",48
"years",48
"relative",47
"panel",43
"will",42
"period",41
"range",40
"variability",40
"carbon",39
"summary",38
"anthropogenic",37
"ice",36
"scenario",36
"policymakers",35
"cumulative",35
"net",35
"assessed",34
"increases",34
"south",32
"year",31
"due",31
"report",29
"evidence",29
"influence",29
"system",29
"higher",29
"extremes",28
"century",28
"future",28
"united",27
"based",27
"least",27
"assessment",26
"cmip",26
"droughts",26
"events",26
"frequency",26
"occur",26
"compared",25
"drivers",24
"simulated",24
"ecological",24
"levels",23
"regional",23
"north",23
"africa",22
"used",22
"estimate",22
"natural",22
"rise",22
"agricultural",22
"intensity",22
"extreme",22
"times",22
"model",21
"heavy",21
"historical",21
"annual",20
"past",20
"average",20
"decrease",20
"central",20
"cids",20
"atmosphere",19
"concentrations",19
"aerosols",19
"internal",19
"limited",19
"term",19
"forcing",19
"illustrative",19
"ghgs",18
"time",18
"air",18
"nonco",18
"gtco",18
"science",17
"ipcc",17
"across",17
"response",17
"larger",17
"hot",17
"reductions",17
"small",17
"projections",17
"remaining",17
"five",16
"per",16
"arctic",16
"humancaused",16
"increased",16
"recent",16
"models",16
"atmospheric",16
"drought",16
"asia",16
"exceeded",16
"contribution",15
"additional",15
"considered",15
"greenhouse",15
"simulations",15
"ranges",15
"moisture",15
"soil",15
"monsoon",15
"kingdom",14
"can",14
"crosssection",14
"southern",14
"bar",14
"see",14
"andor",14
"europe",14
"within",14
"number",14
"shown",14
"physical",13
"lines",13
"multiple",13
"sinks",13
"best",13
"become",13
"frequent",13
"heatwaves",13
"zero",13
"continue",13
"wgi",12
"australia",12
"states",12
"around",12
"certain",12
"decades",12
"indicate",12
"main",12
"reference",12
"taken",12
"contributed",12
"last",12
"loss",12
"contributions",12
"shows",12
"effects",12
"radiative",12
"glossary",12
"processes",12
"tropical",12
"event",12
"intermediate",12
"values",12
"calculated",12
"climatic",12
"coastal",12
"new",11
"agreement",11
"dioxide",11
"virtually",11
"cooling",11
"northern",11
"show",11
"type",11
"icesheet",11
"include",11
"scales",11
"working",10
"officer",10
"estimates",10
"gas",10
"gases",10
"humaninduced",10
"lead",10
"limiting",10
"literature",10
"occurred",10
"proportion",10
"weather",10
"area",10
"decreases",10
"driver",10
"rate",10
"aerosol",10
"landuse",10
"sensitivity",10
"every",10
"region",10
"dry",10
"east",10
"west",10
"outcomes",10
"respectively",10
"near",10
"negative",10
"experience",10
"impactdrivers",10
"group",9
"consistent",9
"current",9
"observational",9
"conditions",9
"increasing",9
"large",9
"snow",9
"storm",9
"ago",9
"data",9
"less",9
"scale",9
"temperatures",9
"water",9
"areas",9
"conufbdence",9
"islands",9
"given",9
"removals",9
"use",9
"lowlikelihood",9
"uncertainty",9
"cdr",9
"france",8
"associated",8
"continued",8
"example",8
"extremely",8
"information",8
"likelihood",8
"parts",8
"possible",8
"studies",8
"underlying",8
"unlikely",8
"decade",8
"lower",8
"observations",8
"ozone",8
"represent",8
"two",8
"inufbuence",8
"volcanic",8
"warm",8
"cyclones",8
"results",8
"without",8
"compound",8
"flooding",8
"pollution",8
"figures",8
"permafrost",8
"deviation",8
"standard",8
"amount",8
"hotter",8
"highimpact",8
"potential",8
"cid",8
"budget",8
"project",7
"improvements",7
"key",7
"million",7
"periods",7
"probability",7
"relevant",7
"section",7
"synthesis",7
"attribution",7
"estimated",7
"one",7
"open",7
"provided",7
"sheet",7
"trends",7
"multimodel",7
"phase",7
"solar",7
"effect",7
"centuries",7
"cold",7
"exceed",7
"marine",7
"present",7
"reached",7
"defined",7
"different",7
"australasia",7
"hexagons",7
"may",7
"part",7
"responses",7
"well",7
"intensify",7
"budgets",7
"ruled",7
"several",7
"quality",7
"tcre",7
"available",6
"cover",6
"germany",6
"date",6
"differences",6
"expressed",6
"improved",6
"reports",6
"throughout",6
"understanding",6
"wellmixed",6
"global",6
"antarctic",6
"approximately",6
"averaged",6
"hemisphere",6
"longterm",6
"trend",6
"coupled",6
"grey",6
"intercomparison",6
"left",6
"unprecedented",6
"individual",6
"combined",6
"even",6
"hydrological",6
"intense",6
"similar",6
"concurrent",6
"local",6
"refers",6
"western",6
"eastern",6
"column",6
"dots",6
"maximum",6
"long",6
"set",6
"socioeconomic",6
"specific",6
"wind",6
"drier",6
"severity",6
"wetter",6
"magnitude",6
"heat",6
"basis",5
"intergovernmental",5
"switzerland",5
"italy",5
"norway",5
"activities",5
"cycle",5
"indicated",5
"methods",5
"paleoclimate",5
"ppt",5
"reaching",5
"related",5
"reported",5
"result",5
"special",5
"state",5
"three",5
"unless",5
"using",5
"warmed",5
"first",5
"glaciers",5
"september",5
"summer",5
"black",5
"coloured",5
"decadal",5
"line",5
"account",5
"contribute",5
"partly",5
"affected",5
"depending",5
"end",5
"evapotranspiration",5
"however",5
"meteorological",5
"smaller",5
"pacific",5
"peak",5
"car",5
"caribbean",5
"med",5
"nwn",5
"ssa",5
"colours",5
"single",5
"assumptions",5
"ensemble",5
"resulting",5
"cause",5
"graph",5
"bars",5
"sustained",5
"decline",5
"discernible",5
"absolute",5
"baseline",5
"correspond",5
"corresponding",5
"grid",5
"indicates",5
"interannual",5
"point",5
"reduce",5
"drying",5
"occurs",5
"included",5
"storms",5
"wet",5
"millennia",5
"acidity",5
"partially",5
"refer",5
"limit",5
"relationship",5
"sixth",4
"senior",4
"canada",4
"china",4
"russian",4
"averages",4
"caused",4
"context",4
"ecosystems",4
"found",4
"interactive",4
"mainly",4
"methane",4
"nitrous",4
"otherwise",4
"oxide",4
"pathways",4
"ppb",4
"provide",4
"rapid",4
"scientific",4
"stated",4
"substantial",4
"sulphur",4
"acidification",4
"earlier",4
"faster",4
"four",4
"means",4
"midlatitude",4
"poleward",4
"shift",4
"spatial",4
"tracks",4
"updated",4
"upper",4
"warmer",4
"direct",4
"factors",4
"multicentury",4
"reconstructed",4
"variations",4
"aggregated",4
"masked",4
"whiskers",4
"function",4
"glacier",4
"particular",4
"remain",4
"severe",4
"therefore",4
"whole",4
"worlds",4
"centennial",4
"combination",4
"fire",4
"inhabited",4
"locations",4
"occurrence",4
"reach",4
"river",4
"american",4
"arp",4
"caf",4
"cau",4
"cna",4
"eas",4
"eau",4
"eca",4
"eeu",4
"ena",4
"esaf",4
"esb",4
"gic",4
"mdg",4
"nau",4
"nca",4
"neaf",4
"nen",4
"nes",4
"neu",4
"nsa",4
"nws",4
"pac",4
"rar",4
"rfe",4
"sah",4
"sam",4
"sas",4
"sau",4
"sca",4
"seaf",4
"ses",4
"sws",4
"tib",4
"waf",4
"wca",4
"wce",4
"wna",4
"wsaf",4
"wsb",4
"assessments",4
"constraints",4
"daily",4
"dot",4
"energy",4
"equilibrium",4
"geographical",4
"heating",4
"positive",4
"record",4
"declining",4
"patterns",4
"referred",4
"groups",4
"deep",4
"median",4
"increment",4
"linear",4
"rates",4
"temporary",4
"metric",4
"panels",4
"take",4
"now",4
"circulation",4
"dark",4
"detectable",4
"half",4
"monsoons",4
"percentile",4
"emitted",4
"uncertain",4
"adding",4
"chart",4
"specified",4
"openocean",4
"abrupt",4
"assess",4
"strong",4
"determine",4
"anna",3
"berger",3
"chen",3
"connors",3
"goldfarb",3
"gomis",3
"head",3
"massondelmotte",3
"maycock",3
"pirani",3
"sophie",3
"technical",3
"zhai",3
"changing",3
"argentina",3
"contributing",3
"india",3
"netherlands",3
"archives",3
"combining",3
"development",3
"equivalent",3
"finding",3
"findings",3
"food",3
"futures",3
"globally",3
"impacts",3
"knowledge",3
"preindustrial",3
"presented",3
"role",3
"sections",3
"terms",3
"variables",3
"widespread",3
"complete",3
"consider",3
"differ",3
"direction",3
"greenland",3
"methodological",3
"represents",3
"responsible",3
"retreat",3
"shifted",3
"activity",3
"causes",3
"days",3
"green",3
"growing",3
"interglacial",3
"multimillennial",3
"next",3
"season",3
"shades",3
"solid",3
"white",3
"aviation",3
"contrails",3
"irrigation",3
"reflectance",3
"aspects",3
"far",3
"footnote",3
"production",3
"continents",3
"explained",3
"includes",3
"multidecadal",3
"rainfall",3
"risk",3
"mediterranean",3
"northeastern",3
"northwestern",3
"approximate",3
"concentration",3
"heatwave",3
"indices",3
"legend",3
"location",3
"responds",3
"sheets",3
"assesses",3
"consistently",3
"controls",3
"either",3
"neutral",3
"pathway",3
"pollutant",3
"robust",3
"varying",3
