"word","freq"
"conservation",221
"world",176
"global",168
"climate",153
"areas",131
"species",130
"iucns",129
"biodiversity",122
"protected",118
"heritage",111
"environmental",99
"governance",97
"will",97
"development",93
"ecosystems",90
"policy",90
"members",87
"regional",87
"water",87
"marine",86
"nature",79
"business",79
"gender",76
"new",74
"support",74
"law",72
"report",71
"work",69
"management",69
"list",67
"conserved",65
"forests",64
"commissions",60
"rights",60
"secretariat",60
"services",60
"science",59
"donors",58
"solutions",57
"fora",56
"international",54
"leadership",54
"action",54
"environment",54
"polar",53
"sustainable",53
"economics",52
"overview",51
"restoration",51
"annual",50
"message",50
"supporters",50
"programme",50
"thanks",50
"contents",49
"opening",49
"natural",48
"countries",48
"red",46
"national",42
"naturebased",39
"sites",38
"ecosystem",37
"framework",37
"continued",35
"supported",35
"congress",33
"organisations",33
"knowledge",32
"asia",31
"convention",30
"forest",30
"threatened",29
"switzerland",29
"initiative",29
"partnership",29
"governments",28
"project",28
"africa",27
"gland",27
"targets",27
"area",27
"people",26
"resources",26
"america",26
"indigenous",25
"key",25
"government",25
"green",25
"land",25
"assessments",25
"assessment",24
"economic",24
"projects",24
"communities",23
"experts",23
"now",23
"peoples",23
"central",23
"landscape",23
"together",22
"cooperation",22
"million",22
"committee",22
"general",21
"challenge",21
"commission",21
"local",21
"post",21
"society",21
"bonn",21
"union",20
"can",20
"improve",20
"resource",20
"legal",20
"provide",19
"adaptation",19
"continue",19
"towards",19
"agency",19
"launched",19
"scientific",19
"publications",19
"director",18
"partners",18
"part",18
"working",18
"efforts",18
"goals",18
"risk",18
"strengthen",18
"major",18
"plastic",18
"resilience",17
"year",17
"tools",17
"europe",17
"west",17
"ocean",17
"implementation",17
"ministry",17
"caribbean",16
"south",16
"fund",16
"provided",16
"two",16
"across",16
"effective",16
"platform",16
"assessing",16
"wccres",16
"address",15
"civil",15
"decade",15
"social",15
"around",15
"data",15
"foundation",15
"training",15
"approaches",15
"impacts",15
"well",15
"based",15
"food",15
"plans",15
"systems",15
"hectares",15
"human",14
"membership",14
"four",14
"developing",14
"providing",14
"building",14
"degradation",14
"help",14
"issues",14
"future",14
"german",14
"upcoming",14
"study",14
"centre",14
"region",13
"helped",13
"loss",13
"planet",13
"wildlife",13
"member",13
"network",13
"private",13
"progress",13
"diversity",13
"information",13
"advice",13
"improved",13
"inclusive",13
"published",13
"group",13
"mangrove",13
"agreement",13
"eba",13
"frameworks",13
"healthy",12
"need",12
"united",12
"largest",12
"state",12
"initiatives",12
"community",12
"role",12
"standard",12
"included",12
"threats",12
"coastal",12
"led",12
"plan",12
"women",12
"tool",12
"acting",11
"better",11
"challenges",11
"extinction",11
"speciestm",11
"states",11
"wellbeing",11
"worldwide",11
"standards",11
"status",11
"biological",11
"resolutions",11
"planning",11
"guatemala",11
"health",11
"integrated",11
"protect",11
"system",11
"build",11
"engagement",11
"res",11
"one",11
"protection",11
"bank",11
"latin",11
"guidance",11
"site",11
"worked",11
"funded",11
"landscapes",11
"river",11
"technical",11
"assess",11
"develop",11
"use",11
"aguilar",10
"grethel",10
"assembly",10
"session",10
"best",10
"diverse",10
"provides",10
"recommendations",10
"worlds",10
"capacity",10
"north",10
"regions",10
"years",10
"african",10
"making",10
"promoting",10
"strengthening",10
"collaboration",10
"critical",10
"evidence",10
"life",10
"pollution",10
"time",10
"achieving",10
"launch",10
"security",10
"risks",10
"european",10
"inform",10
"energy",10
"basin",10
"monitoring",10
"impact",10
"fisheries",10
"benefits",10
"outlook",10
"president",9
"beyond",9
"opportunity",9
"recovery",9
"throughout",9
"achieve",9
"forum",9
"implement",9
"practices",9
"council",9
"east",9
"meeting",9
"important",9
"republic",9
"decisions",9
"greater",9
"importance",9
"mitigation",9
"leaders",9
"supports",9
"leading",9
"summit",9
"agriculture",9
"germany",9
"investment",9
"number",9
"supporting",9
"financing",9
"implementing",9
"kfw",9
"developed",9
"transboundary",9
"first",9
"target",9
"actions",8
"brought",8
"threat",8
"held",8
"expertise",8
"groups",8
"levels",8
"make",8
"six",8
"stakeholders",8
"agenda",8
"habitat",8
"trade",8
"committees",8
"recognised",8
"called",8
"crisis",8
"neutrality",8
"reduction",8
"wcc",8
"equitable",8
"france",8
"potential",8
"advance",8
"cop",8
"enhance",8
"value",8
"applying",8
"released",8
"identify",8
"net",8
"issue",8
"contributions",8
"mangroves",8
"paris",8
"blue",8
"enhancing",8
"equality",8
"research",8
"database",8
"sharing",8
"genderresponsive",8
"ibat",8
"approach",7
"commitment",7
"economy",7
"focus",7
"revealed",7
"set",7
"unions",7
"nations",7
"created",7
"education",7
"enable",7
"agreements",7
"mexico",7
"restore",7
"staff",7
"growth",7
"kenya",7
"sector",7
"decision",7
"right",7
"highlevel",7
"increasing",7
"lead",7
"strategy",7
"sustainability",7
"three",7
"course",7
"french",7
"ground",7
"mechanisms",7
"media",7
"peru",7
"china",7
"focused",7
"addressing",7
"five",7
"growing",7
"usaid",7
"facility",7
"advisory",7
"commitments",7
"independent",7
"review",7
"rio",7
"contributed",7
"exchange",7
"joint",7
"promote",7
"reports",7
"determined",7
"mozambique",7
"nationally",7
"glaciers",7
"globally",7
"processes",7
"genetic",7
"treaty",7
"barometer",7
"ensure",7
"finance",7
"reserve",7
"footprint",7
"businesses",6
"coming",6
"covid",6
"jointly",6
"next",6
"opportunities",6
"position",6
"second",6
"dialogue",6
"guidelines",6
"informing",6
"institutions",6
"measures",6
"mission",6
"reach",6
