"word","freq"
"climate",154
"areas",132
"world",130
"global",126
"conservation",124
"protected",113
"species",108
"will",105
"environmental",99
"heritage",98
"marine",94
"gender",93
"biodiversity",89
"water",86
"governance",83
"policy",79
"members",78
"risk",75
"report",74
"iucns",74
"development",69
"management",69
"new",69
"work",67
"sustainable",66
"law",64
"reduction",63
"strategic",63
"nature",62
"disaster",62
"services",62
"business",61
"donors",59
"rights",59
"science",59
"forests",58
"secretariat",58
"annual",54
"commissions",54
"polar",52
"support",52
"international",51
"economics",51
"programme",50
"orientations",49
"overview",49
"thanks",48
"message",47
"supporters",47
"national",47
"contents",46
"opening",46
"action",45
"dgs",45
"natural",42
"countries",40
"initiative",40
"partners",38
"convention",38
"government",34
"restoration",34
"ecosystem",33
"organisations",33
"union",32
"projects",32
"indigenous",32
"ecosystems",32
"list",32
"sites",32
"environment",31
"solutions",31
"switzerland",31
"communities",30
"resources",29
"data",29
"land",28
"project",27
"governments",26
"first",25
"africa",25
"gland",25
"framework",25
"economic",24
"local",24
"america",24
"forest",24
"asia",23
"people",23
"key",23
"well",23
"continued",22
"central",22
"regional",22
"committee",22
"launched",22
"ensure",21
"red",21
"foundation",21
"improve",21
"implementation",21
"use",21
"million",21
"provided",21
"director",20
"major",20
"impacts",20
"assessments",20
"bonn",19
"provide",19
"policies",19
"publications",19
"general",18
"peoples",18
"mexico",18
"develop",18
"european",18
"challenge",17
"continue",17
"information",17
"decision",17
"ocean",17
"supported",17
"now",16
"plan",16
"scientific",16
"guidelines",16
"number",16
"developing",16
"technical",16
"area",16
"south",15
"conference",15
"knowledge",15
"united",15
"years",15
"organisation",15
"threatened",15
"legal",15
"enhance",15
"included",15
"partnership",15
"landscape",15
"tanzania",15
"state",14
"year",14
"member",14
"private",14
"progress",14
"status",14
"region",14
"west",14
"advice",14
"across",14
"role",14
"targets",14
"resilience",14
"strategy",14
"mangroves",14
"community",13
"opportunities",13
"experts",13
"forum",13
"network",13
"together",13
"congress",13
"regions",13
"growth",13
"based",13
"need",13
"systems",13
"upcoming",13
"wccres",13
"adaptation",13
"women",13
"around",12
"benefits",12
"can",12
"impact",12
"membership",12
"caribbean",12
"europe",12
"making",12
"agriculture",12
"outlook",12
"system",12
"hectares",12
"naturebased",12
"three",12
"led",12
"works",12
"adopted",12
"assessing",12
"energy",12
"flr",12
"programmes",12
"coastal",12
"group",12
"president",11
"guide",11
"portfolio",11
"society",11
"analysis",11
"best",11
"human",11
"provides",11
"sdgs",11
"standards",11
"biological",11
"endangered",11
"nations",11
"training",11
"address",11
"food",11
"livelihoods",11
"published",11
"developed",11
"green",11
"aims",11
"assessment",11
"processes",11
"approaches",11
"building",10
"challenges",10
"degradation",10
"extinction",10
"goals",10
"towards",10
"efforts",10
"recommendations",10
"capacity",10
"diversity",10
"north",10
"part",10
"following",10
"significant",10
"working",10
"important",10
"increase",10
"infrastructure",10
"research",10
"result",10
"senior",10
"collaboration",10
"equality",10
"help",10
"aim",10
"madagascar",10
"standard",10
"basin",10
"plans",10
"agency",9
"andersen",9
"better",9
"commitments",9
"german",9
"inger",9
"leadership",9
"meeting",9
"mission",9
"germany",9
"agencies",9
"official",9
"one",9
"worldwide",9
"east",9
"oceania",9
"used",9
"sector",9
"within",9
"improved",9
"providing",9
"commission",9
"contribute",9
"engagement",9
"sdg",9
"integrated",9
"centre",9
"funding",9
"production",9
"control",9
"alliance",9
"completed",9
"conserved",9
"site",9
"nam",9
"pacific",9
"viet",9
"wildlife",9
"implementing",9
"parties",9
"inclusive",9
"ecosystembased",9
"civil",8
"priorities",8
"unions",8
"french",8
"practices",8
"analytical",8
"council",8
"process",8
"resolutions",8
"staff",8
"strengthen",8
"achieving",8
"beyond",8
"intergovernmental",8
"oceans",8
"addressing",8
"combat",8
"established",8
"investment",8
"monitoring",8
"results",8
"facility",8
"financing",8
"innovative",8
"effective",8
"order",8
"approved",8
"coverage",8
"resource",8
"strategies",8
"park",8
"protect",8
"sea",8
"activities",8
"cop",8
"bringing",8
"overseas",8
"patrons",8
"plastic",8
"sustain",8
"river",8
"aimed",8
"mangrove",8
"agreement",7
"made",7
"paris",7
"strong",7
"created",7
"implement",7
"input",7
"measures",7
"social",7
"tools",7
"large",7
"restore",7
"set",7
"trade",7
"washington",7
"among",7
"include",7
"recognised",7
"strengthening",7
"financial",7
"planet",7
"degraded",7
"desertification",7
"publication",7
"identify",7
"paper",7
"platform",7
"landscapes",7
"malawi",7
"supporting",7
"islands",7
"res",7
"wcc",7
"conserving",7
"partner",7
"save",7
"unfccc",7
"african",7
"eight",7
"multilateral",7
"republic",7
"usa",7
"womens",7
"brazil",7
"farmers",7
"panel",7
"india",7
"pollution",7
"wild",7
"continues",6
"findings",6
"growing",6
"indonesia",6
"needs",6
"reflect",6
"xinsheng",6
"zhang",6
"achieve",6
"diverse",6
"largest",6
"ngos",6
"organised",6
"stakeholders",6
"two",6
"agenda",6
"body",6
"four",6
"mediterranean",6
"operational",6
"respond",6
"country",6
"headquarters",6
"increased",6
"expanded",6
"ambitious",6
"basis",6
"enhanced",6
"future",6
"high",6
"organization",6
"city",6
"conflict",6
"enabling",6
"end",6
"industry",6
"investments",6
"managers",6
"mitigation",6
"portal",6
"time",6
"tool",6
"understanding",6
"makers",6
"quality",6
"risks",6
"finance",6
"guidance",6
"increasing",6
"protection",6
"importance",6
"arctic",6
"contributed",6
"kbas",6
"updated",6
"zero",6
"cultural",6
"honduras",6
"leaders",6
"salvador",6
"managing",6
"committed",6
"sos",6
"territories",6
"prince",6
"initiatives",6
"wwf",6
"power",6
"reducing",6
"review",6
"security",6
"worked",6
"considerations",6
"rio",6
"threat",6
"gain",6
"net",6
"healthy",6
"revealed",6
"vulnerable",6
"equitable",6
"protecting",6
"representatives",6
"helped",6
"judicial",6
"dialogues",6
"engagements",5
"companies",5
"investing",5
"latest",5
"make",5
"scale",5
"take",5
"direct",5
"direction",5
"groups",5
"levels",5
"nongovernmental",5
"public",5
"reach",5
"survival",5
"worlds",5
"foundations",5
"habitat",5
"loss",5
"office",5
"produce",5
"produced",5
"several",5
"committees",5
"cooperation",5
"states",5
"sound",5
"goal",5
"jurisdiction",5
"next",5
"operations",5
"programmatic",5
"agricultural",5
"approach",5
"build",5
"publish",5
"target",5
"evaluation",5
"indicators",5
"promising",5
"resolution",5
"sharing",5
"assembly",5
"capital",5
"practice",5
"access",5
"institute",5
"primary",5
"way",5
"assess",5
"china",5
"critically",5
"c<f4>te",5
"database",5
"establishment",5
"freshwater",5
"implemented",5
"invasive",5
"strengthened",5
"conduct",5
"costa",5
"deforested",5
"issues",5
"links",5
"products",5
"promote",5
"rica",5
"integrating",5
