from,to,sum,inertia
poverty,hunger,1,0.0
poverty,health,2,0.5
poverty,education,1,0.0
poverty,gender,2,0.5
poverty,clean,1,0.0
poverty,energy,1,0.0
poverty,work,1,0.0
poverty,industry,1,0.0
poverty,inequalities,2,0.5
poverty,cities,2,0.5
poverty,consumption,1,0.0
poverty,climate,1,0.0
poverty,water,1,0.0
poverty,land,1,0.0
poverty,peace,1,0.0
hunger,health,1,0.0
hunger,education,0,0.0
hunger,gender,1,0.0
hunger,clean,0,0.0
hunger,energy,0,0.0
hunger,work,0,0.0
hunger,industry,0,0.0
hunger,inequalities,1,0.0
hunger,cities,1,0.0
hunger,consumption,0,0.0
hunger,climate,0,0.0
hunger,water,0,0.0
hunger,land,0,0.0
hunger,peace,0,0.0
health,education,1,0.0
health,gender,2,0.5
health,clean,1,0.0
health,energy,1,0.0
health,work,1,0.0
health,industry,1,0.0
health,inequalities,2,0.5
health,cities,2,0.5
health,consumption,1,0.0
health,climate,1,0.0
health,water,1,0.0
health,land,1,0.0
health,peace,1,0.0
education,gender,1,0.0
education,clean,0,0.0
education,energy,0,0.0
education,work,0,0.0
education,industry,0,0.0
education,inequalities,1,0.0
education,cities,1,0.0
education,consumption,0,0.0
education,climate,0,0.0
education,water,0,0.0
education,land,0,0.0
education,peace,0,0.0
gender,clean,1,0.0
gender,energy,1,0.0
gender,work,1,0.0
gender,industry,1,0.0
gender,inequalities,2,0.5
gender,cities,2,0.5
gender,consumption,1,0.0
gender,climate,1,0.0
gender,water,1,0.0
gender,land,1,0.0
gender,peace,1,0.0
clean,energy,0,0.0
clean,work,0,0.0
clean,industry,0,0.0
clean,inequalities,1,0.0
clean,cities,1,0.0
clean,consumption,0,0.0
clean,climate,0,0.0
clean,water,0,0.0
clean,land,0,0.0
clean,peace,0,0.0
energy,work,0,0.0
energy,industry,0,0.0
energy,inequalities,1,0.0
energy,cities,1,0.0
energy,consumption,0,0.0
energy,climate,0,0.0
energy,water,0,0.0
energy,land,0,0.0
energy,peace,0,0.0
work,industry,0,0.0
work,inequalities,1,0.0
work,cities,1,0.0
work,consumption,0,0.0
work,climate,0,0.0
work,water,0,0.0
work,land,0,0.0
work,peace,0,0.0
industry,inequalities,1,0.0
industry,cities,1,0.0
industry,consumption,0,0.0
industry,climate,0,0.0
industry,water,0,0.0
industry,land,0,0.0
industry,peace,0,0.0
inequalities,cities,2,0.5
inequalities,consumption,1,0.0
inequalities,climate,1,0.0
inequalities,water,1,0.0
inequalities,land,1,0.0
inequalities,peace,1,0.0
cities,consumption,1,0.0
cities,climate,1,0.0
cities,water,1,0.0
cities,land,1,0.0
cities,peace,1,0.0
consumption,climate,0,0.0
consumption,water,0,0.0
consumption,land,0,0.0
consumption,peace,0,0.0
climate,water,0,0.0
climate,land,0,0.0
climate,peace,0,0.0
water,land,0,0.0
water,peace,0,0.0
land,peace,0,0.0
