from,to,sum,inertia
poverty,hunger,0,0.0
poverty,health,6,0.0
poverty,education,0,0.0
poverty,gender,0,0.0
poverty,clean,3,0.0
poverty,energy,0,0.0
poverty,work,0,0.0
poverty,industry,6,0.0
poverty,inequalities,0,0.0
poverty,cities,1,0.0
poverty,consumption,0,0.0
poverty,climate,0,0.0
poverty,water,0,0.0
poverty,land,0,0.0
poverty,peace,1,0.0
hunger,health,6,0.0
hunger,education,0,0.0
hunger,gender,0,0.0
hunger,clean,3,0.0
hunger,energy,0,0.0
hunger,work,0,0.0
hunger,industry,6,0.0
hunger,inequalities,0,0.0
hunger,cities,1,0.0
hunger,consumption,0,0.0
hunger,climate,0,0.0
hunger,water,0,0.0
hunger,land,0,0.0
hunger,peace,1,0.0
health,education,6,0.0
health,gender,6,0.0
health,clean,9,2.0
health,energy,6,0.0
health,work,6,0.0
health,industry,12,3.0
health,inequalities,6,0.0
health,cities,7,0.8571428571428571
health,consumption,6,0.0
health,climate,6,0.0
health,water,6,0.0
health,land,6,0.0
health,peace,7,0.8571428571428571
education,gender,0,0.0
education,clean,3,0.0
education,energy,0,0.0
education,work,0,0.0
education,industry,6,0.0
education,inequalities,0,0.0
education,cities,1,0.0
education,consumption,0,0.0
education,climate,0,0.0
education,water,0,0.0
education,land,0,0.0
education,peace,1,0.0
gender,clean,3,0.0
gender,energy,0,0.0
gender,work,0,0.0
gender,industry,6,0.0
gender,inequalities,0,0.0
gender,cities,1,0.0
gender,consumption,0,0.0
gender,climate,0,0.0
gender,water,0,0.0
gender,land,0,0.0
gender,peace,1,0.0
clean,energy,3,0.0
clean,work,3,0.0
clean,industry,9,2.0
clean,inequalities,3,0.0
clean,cities,4,0.75
clean,consumption,3,0.0
clean,climate,3,0.0
clean,water,3,0.0
clean,land,3,0.0
clean,peace,4,0.75
energy,work,0,0.0
energy,industry,6,0.0
energy,inequalities,0,0.0
energy,cities,1,0.0
energy,consumption,0,0.0
energy,climate,0,0.0
energy,water,0,0.0
energy,land,0,0.0
energy,peace,1,0.0
work,industry,6,0.0
work,inequalities,0,0.0
work,cities,1,0.0
work,consumption,0,0.0
work,climate,0,0.0
work,water,0,0.0
work,land,0,0.0
work,peace,1,0.0
industry,inequalities,6,0.0
industry,cities,7,0.8571428571428571
industry,consumption,6,0.0
industry,climate,6,0.0
industry,water,6,0.0
industry,land,6,0.0
industry,peace,7,0.8571428571428571
inequalities,cities,1,0.0
inequalities,consumption,0,0.0
inequalities,climate,0,0.0
inequalities,water,0,0.0
inequalities,land,0,0.0
inequalities,peace,1,0.0
cities,consumption,1,0.0
cities,climate,1,0.0
cities,water,1,0.0
cities,land,1,0.0
cities,peace,2,0.5
consumption,climate,0,0.0
consumption,water,0,0.0
consumption,land,0,0.0
consumption,peace,1,0.0
climate,water,0,0.0
climate,land,0,0.0
climate,peace,1,0.0
water,land,0,0.0
water,peace,1,0.0
land,peace,1,0.0
