from,to,sum,inertia
poverty,hunger,3,0.6666666666666666
poverty,health,2,0.0
poverty,education,9,1.5555555555555556
poverty,gender,2,0.0
poverty,clean,5,1.2
poverty,energy,2,0.0
poverty,work,2,0.0
poverty,industry,4,1.0
poverty,inequalities,3,0.6666666666666666
poverty,cities,6,1.3333333333333333
poverty,consumption,2,0.0
poverty,climate,2,0.0
poverty,water,2,0.0
poverty,land,2,0.0
poverty,peace,6,1.3333333333333333
hunger,health,1,0.0
hunger,education,8,0.875
hunger,gender,1,0.0
hunger,clean,4,0.75
hunger,energy,1,0.0
hunger,work,1,0.0
hunger,industry,3,0.6666666666666666
hunger,inequalities,2,0.5
hunger,cities,5,0.8
hunger,consumption,1,0.0
hunger,climate,1,0.0
hunger,water,1,0.0
hunger,land,1,0.0
hunger,peace,5,0.8
health,education,7,0.0
health,gender,0,0.0
health,clean,3,0.0
health,energy,0,0.0
health,work,0,0.0
health,industry,2,0.0
health,inequalities,1,0.0
health,cities,4,0.0
health,consumption,0,0.0
health,climate,0,0.0
health,water,0,0.0
health,land,0,0.0
health,peace,4,0.0
education,gender,7,0.0
education,clean,10,2.1
education,energy,7,0.0
education,work,7,0.0
education,industry,9,1.5555555555555556
education,inequalities,8,0.875
education,cities,11,2.5454545454545454
education,consumption,7,0.0
education,climate,7,0.0
education,water,7,0.0
education,land,7,0.0
education,peace,11,2.5454545454545454
gender,clean,3,0.0
gender,energy,0,0.0
gender,work,0,0.0
gender,industry,2,0.0
gender,inequalities,1,0.0
gender,cities,4,0.0
gender,consumption,0,0.0
gender,climate,0,0.0
gender,water,0,0.0
gender,land,0,0.0
gender,peace,4,0.0
clean,energy,3,0.0
clean,work,3,0.0
clean,industry,5,1.2
clean,inequalities,4,0.75
clean,cities,7,1.7142857142857142
clean,consumption,3,0.0
clean,climate,3,0.0
clean,water,3,0.0
clean,land,3,0.0
clean,peace,7,1.7142857142857142
energy,work,0,0.0
energy,industry,2,0.0
energy,inequalities,1,0.0
energy,cities,4,0.0
energy,consumption,0,0.0
energy,climate,0,0.0
energy,water,0,0.0
energy,land,0,0.0
energy,peace,4,0.0
work,industry,2,0.0
work,inequalities,1,0.0
work,cities,4,0.0
work,consumption,0,0.0
work,climate,0,0.0
work,water,0,0.0
work,land,0,0.0
work,peace,4,0.0
industry,inequalities,3,0.6666666666666666
industry,cities,6,1.3333333333333333
industry,consumption,2,0.0
industry,climate,2,0.0
industry,water,2,0.0
industry,land,2,0.0
industry,peace,6,1.3333333333333333
inequalities,cities,5,0.8
inequalities,consumption,1,0.0
inequalities,climate,1,0.0
inequalities,water,1,0.0
inequalities,land,1,0.0
inequalities,peace,5,0.8
cities,consumption,4,0.0
cities,climate,4,0.0
cities,water,4,0.0
cities,land,4,0.0
cities,peace,8,2.0
consumption,climate,0,0.0
consumption,water,0,0.0
consumption,land,0,0.0
consumption,peace,4,0.0
climate,water,0,0.0
climate,land,0,0.0
climate,peace,4,0.0
water,land,0,0.0
water,peace,4,0.0
land,peace,4,0.0
