from,to,sum,inertia
poverty,hunger,12,1.6666666666666667
poverty,health,229,9.563318777292576
poverty,education,16,3.75
poverty,gender,11,0.9090909090909091
poverty,clean,32,6.875
poverty,energy,1125,9.911111111111111
poverty,work,328,9.695121951219512
poverty,industry,65,8.461538461538462
poverty,inequalities,11,0.9090909090909091
poverty,cities,147,9.319727891156463
poverty,consumption,48,7.916666666666667
poverty,climate,17812,9.994385807320906
poverty,water,2409,9.95848899958489
poverty,land,3351,9.970158161742763
poverty,peace,13,2.3076923076923075
hunger,health,221,1.9819004524886878
hunger,education,8,1.5
hunger,gender,3,0.6666666666666666
hunger,clean,24,1.8333333333333333
hunger,energy,1117,1.9964189794091316
hunger,work,320,1.9875
hunger,industry,57,1.9298245614035088
hunger,inequalities,3,0.6666666666666666
hunger,cities,139,1.9712230215827338
hunger,consumption,40,1.9
hunger,climate,17804,1.9997753313862054
hunger,water,2401,1.9983340274885464
hunger,land,3343,1.9988034699371822
hunger,peace,5,1.2
health,education,225,5.84
health,gender,220,0.9954545454545455
health,clean,241,19.991701244813278
health,energy,1334,183.04722638680659
health,work,537,129.68715083798884
health,industry,274,43.95985401459854
health,inequalities,220,0.9954545454545455
health,cities,356,84.27808988764045
health,consumption,257,32.38132295719844
health,climate,18021,216.33860496087897
health,water,2618,200.68029029793735
health,land,3560,205.52780898876404
health,peace,222,2.9594594594594597
education,gender,7,0.8571428571428571
education,clean,28,4.714285714285714
education,energy,1121,5.967885816235504
education,work,324,5.888888888888889
education,industry,61,5.409836065573771
education,inequalities,7,0.8571428571428571
education,cities,143,5.748251748251748
education,consumption,44,5.181818181818182
education,climate,17808,5.997978436657682
education,water,2405,5.985031185031185
education,land,3347,5.989244099193307
education,peace,9,2.0
gender,clean,23,0.9565217391304348
gender,energy,1116,0.9991039426523297
gender,work,319,0.9968652037617555
gender,industry,56,0.9821428571428571
gender,inequalities,2,0.5
gender,cities,138,0.9927536231884058
gender,consumption,39,0.9743589743589743
gender,climate,17803,0.999943829691625
gender,water,2400,0.9995833333333334
gender,land,3342,0.9997007779772591
gender,peace,4,0.75
clean,energy,1137,21.574318381706245
clean,work,340,20.576470588235296
clean,industry,77,15.714285714285714
clean,inequalities,23,0.9565217391304348
clean,cities,159,18.955974842767297
clean,consumption,60,13.933333333333334
clean,climate,17824,21.972845601436266
clean,water,2421,21.800082610491533
clean,land,3363,21.85608088016652
clean,peace,25,2.64
energy,work,1433,247.43196092114445
energy,industry,1170,52.414529914529915
energy,inequalities,1116,0.9991039426523297
energy,cities,1252,122.00878594249201
energy,consumption,1153,36.74761491760624
energy,climate,18917,1049.280012687001
energy,water,3514,761.2080250426864
energy,land,4456,835.9997755834829
energy,peace,1118,2.9919499105545615
work,industry,373,46.89008042895443
work,inequalities,319,0.9968652037617555
work,cities,455,95.74945054945054
work,consumption,356,33.943820224719104
work,climate,18120,312.41920529801325
work,water,2717,280.781008465219
work,land,3659,290.36294069417875
work,peace,321,2.97196261682243
industry,inequalities,56,0.9821428571428571
industry,cities,192,39.244791666666664
industry,consumption,93,22.473118279569892
industry,climate,17857,54.830598644789156
industry,water,2454,53.767318663406684
industry,land,3396,54.10924617196702
industry,peace,58,2.8448275862068964
inequalities,cities,138,0.9927536231884058
inequalities,consumption,39,0.9743589743589743
inequalities,climate,17803,0.999943829691625
inequalities,water,2400,0.9995833333333334
inequalities,land,3342,0.9997007779772591
inequalities,peace,4,0.75
cities,consumption,175,29.748571428571427
cities,climate,17939,135.95373209208987
cities,water,2536,129.59897476340694
cities,land,3478,131.60350776308223
cities,peace,140,2.9357142857142855
consumption,climate,17840,37.91905829596413
consumption,water,2437,37.40746819860484
consumption,land,3379,37.57265463154779
consumption,peace,41,2.7804878048780486
climate,water,20201,2114.103163209742
climate,land,21143,2813.0578442037554
climate,peace,17805,2.9994945240101094
water,land,5740,1396.3517421602787
water,peace,2402,2.996253122398002
land,peace,3344,2.9973086124401913
