from,to,sum,inertia
poverty,hunger,0.0,0.0
poverty,health,11.0,1.64
poverty,education,5.0,1.2
poverty,gender,91.0,1.96
poverty,clean,3.0,0.67
poverty,energy,13.0,1.69
poverty,work,63.0,1.94
poverty,industry,8.0,1.5
poverty,inequalities,0.0,0.0
poverty,cities,4.0,1.0
poverty,consumption,0.0,0.0
poverty,climate,122.0,1.97
poverty,water,98.0,1.96
poverty,land,37.0,1.89
poverty,peace,0.0,0.0
hunger,health,0.0,0.0
hunger,education,0.0,0.0
hunger,gender,0.0,0.0
hunger,clean,0.0,0.0
hunger,energy,0.0,0.0
hunger,work,0.0,0.0
hunger,industry,0.0,0.0
hunger,inequalities,0.0,0.0
hunger,cities,0.0,0.0
hunger,consumption,0.0,0.0
hunger,climate,0.0,0.0
hunger,water,0.0,0.0
hunger,land,0.0,0.0
hunger,peace,0.0,0.0
health,education,12.0,2.25
health,gender,98.0,8.17
health,clean,10.0,0.9
health,energy,20.0,4.95
health,work,70.0,7.84
health,industry,15.0,3.6
health,inequalities,0.0,0.0
health,cities,11.0,1.64
health,consumption,0.0,0.0
health,climate,129.0,8.37
health,water,105.0,8.23
health,land,44.0,7.16
health,peace,0.0,0.0
education,gender,92.0,2.9
education,clean,4.0,0.75
education,energy,14.0,2.36
education,work,64.0,2.86
education,industry,9.0,2.0
education,inequalities,0.0,0.0
education,cities,5.0,1.2
education,consumption,0.0,0.0
education,climate,123.0,2.93
education,water,99.0,2.91
education,land,38.0,2.76
education,peace,0.0,0.0
gender,clean,90.0,0.99
gender,energy,100.0,9.79
gender,work,150.0,36.19
gender,industry,95.0,5.62
gender,inequalities,0.0,0.0
gender,cities,91.0,1.96
gender,consumption,0.0,0.0
gender,climate,209.0,51.1
gender,water,185.0,46.18
gender,land,124.0,25.12
gender,peace,0.0,0.0
clean,energy,12.0,0.92
clean,work,62.0,0.98
clean,industry,7.0,0.86
clean,inequalities,0.0,0.0
clean,cities,3.0,0.67
clean,consumption,0.0,0.0
clean,climate,121.0,0.99
clean,water,97.0,0.99
clean,land,36.0,0.97
clean,peace,0.0,0.0
energy,work,72.0,9.32
energy,industry,17.0,3.88
energy,inequalities,0.0,0.0
energy,cities,13.0,1.69
energy,consumption,0.0,0.0
energy,climate,131.0,10.08
energy,water,107.0,9.87
energy,land,46.0,8.37
energy,peace,0.0,0.0
work,industry,67.0,5.46
work,inequalities,0.0,0.0
work,cities,63.0,1.94
work,consumption,0.0,0.0
work,climate,181.0,40.44
work,water,157.0,37.3
work,land,96.0,22.24
work,peace,0.0,0.0
industry,inequalities,0.0,0.0
industry,cities,8.0,1.5
industry,consumption,0.0,0.0
industry,climate,126.0,5.71
industry,water,102.0,5.65
industry,land,41.0,5.12
industry,peace,0.0,0.0
inequalities,cities,0.0,0.0
inequalities,consumption,0.0,0.0
inequalities,climate,0.0,0.0
inequalities,water,0.0,0.0
inequalities,land,0.0,0.0
inequalities,peace,0.0,0.0
cities,consumption,0.0,0.0
cities,climate,122.0,1.97
cities,water,98.0,1.96
cities,land,37.0,1.89
cities,peace,0.0,0.0
consumption,climate,0.0,0.0
consumption,water,0.0,0.0
consumption,land,0.0,0.0
consumption,peace,0.0,0.0
climate,water,216.0,53.33
climate,land,155.0,27.1
climate,peace,0.0,0.0
water,land,131.0,25.65
water,peace,0.0,0.0
land,peace,0.0,0.0
