from,to,sum,inertia
poverty,hunger,67,12.686567164179104
poverty,health,148,33.108108108108105
poverty,education,79,18.354430379746834
poverty,gender,76,17.105263157894736
poverty,clean,64,10.9375
poverty,energy,110,27.272727272727273
poverty,work,76,17.105263157894736
poverty,industry,57,6.140350877192983
poverty,inequalities,65,11.538461538461538
poverty,cities,75,16.666666666666668
poverty,consumption,77,17.532467532467532
poverty,climate,92,22.82608695652174
poverty,water,116,28.448275862068964
poverty,land,99,24.747474747474747
poverty,peace,56,5.357142857142857
hunger,health,115,14.486956521739131
hunger,education,46,10.717391304347826
hunger,gender,43,10.279069767441861
hunger,clean,31,7.67741935483871
hunger,energy,77,13.246753246753247
hunger,work,43,10.279069767441861
hunger,industry,24,4.958333333333333
hunger,inequalities,32,7.96875
hunger,cities,42,10.119047619047619
hunger,consumption,44,10.431818181818182
hunger,climate,59,12.101694915254237
hunger,water,83,13.518072289156626
hunger,land,66,12.621212121212121
hunger,peace,23,4.434782608695652
health,education,127,22.37795275590551
health,gender,124,20.548387096774192
health,clean,112,12.25
health,energy,158,37.21518987341772
health,work,124,20.548387096774192
health,industry,105,6.533333333333333
health,inequalities,113,13.008849557522124
health,cities,123,19.91869918699187
health,consumption,125,21.168
health,climate,140,29.4
health,water,164,39.4390243902439
health,land,147,32.666666666666664
health,peace,104,5.653846153846154
education,gender,55,13.709090909090909
education,clean,43,9.44186046511628
education,energy,89,19.55056179775281
education,work,55,13.709090909090909
education,industry,36,5.638888888888889
education,inequalities,44,9.886363636363637
education,cities,54,13.425925925925926
education,consumption,56,13.982142857142858
education,climate,71,17.154929577464788
education,water,95,20.147368421052633
education,land,78,18.21794871794872
education,peace,35,4.9714285714285715
gender,clean,40,9.1
gender,energy,86,18.13953488372093
gender,work,52,13.0
gender,industry,33,5.515151515151516
gender,inequalities,41,9.512195121951219
gender,cities,51,12.745098039215685
gender,consumption,53,13.245283018867925
gender,climate,68,16.058823529411764
gender,water,92,18.652173913043477
gender,land,75,16.986666666666668
gender,peace,32,4.875
clean,energy,74,11.35135135135135
clean,work,40,9.1
clean,industry,21,4.666666666666667
clean,inequalities,29,7.241379310344827
clean,cities,39,8.974358974358974
clean,consumption,41,9.21951219512195
clean,climate,56,10.5
clean,water,80,11.55
clean,land,63,10.88888888888889
clean,peace,20,4.2
energy,work,86,18.13953488372093
energy,industry,67,6.268656716417911
energy,inequalities,75,12.0
energy,cities,85,17.647058823529413
energy,consumption,87,18.620689655172413
energy,climate,102,24.705882352941178
energy,water,126,31.428571428571427
energy,land,109,26.972477064220183
energy,peace,66,5.454545454545454
work,industry,33,5.515151515151516
work,inequalities,41,9.512195121951219
work,cities,51,12.745098039215685
work,consumption,53,13.245283018867925
work,climate,68,16.058823529411764
work,water,92,18.652173913043477
work,land,75,16.986666666666668
work,peace,32,4.875
industry,inequalities,22,4.7727272727272725
industry,cities,32,5.46875
industry,consumption,34,5.5588235294117645
industry,climate,49,6.0
industry,water,73,6.328767123287672
industry,land,56,6.125
industry,peace,13,3.230769230769231
inequalities,cities,40,9.375
inequalities,consumption,42,9.642857142857142
inequalities,climate,57,11.052631578947368
inequalities,water,81,12.222222222222221
inequalities,land,64,11.484375
inequalities,peace,21,4.285714285714286
cities,consumption,52,12.98076923076923
cities,climate,67,15.671641791044776
cities,water,91,18.13186813186813
cities,land,74,16.554054054054053
cities,peace,31,4.838709677419355
consumption,climate,69,16.434782608695652
consumption,water,93,19.161290322580644
consumption,land,76,17.407894736842106
consumption,peace,33,4.909090909090909
climate,water,108,25.666666666666668
climate,land,91,22.615384615384617
climate,peace,48,5.25
water,land,115,28.121739130434783
water,peace,72,5.5
land,peace,55,5.345454545454546
