from,to,sum,inertia
poverty,hunger,6.0,0.83
poverty,health,13.0,3.08
poverty,education,6.0,0.83
poverty,gender,51.0,4.51
poverty,clean,7.0,1.43
poverty,energy,13.0,3.08
poverty,work,67.0,4.63
poverty,industry,0.0,0.0
poverty,inequalities,0.0,0.0
poverty,cities,6.0,0.83
poverty,consumption,6.0,0.83
poverty,climate,136.0,4.82
poverty,water,54.0,4.54
poverty,land,52.0,4.52
poverty,peace,9.0,2.22
hunger,health,9.0,0.89
hunger,education,2.0,0.5
hunger,gender,47.0,0.98
hunger,clean,3.0,0.67
hunger,energy,9.0,0.89
hunger,work,63.0,0.98
hunger,industry,0.0,0.0
hunger,inequalities,0.0,0.0
hunger,cities,2.0,0.5
hunger,consumption,2.0,0.5
hunger,climate,132.0,0.99
hunger,water,50.0,0.98
hunger,land,48.0,0.98
hunger,peace,5.0,0.8
health,education,9.0,0.89
health,gender,54.0,6.81
health,clean,10.0,1.6
health,energy,16.0,4.0
health,work,70.0,7.09
health,industry,0.0,0.0
health,inequalities,0.0,0.0
health,cities,9.0,0.89
health,consumption,9.0,0.89
health,climate,139.0,7.54
health,water,57.0,6.88
health,land,55.0,6.84
health,peace,12.0,2.67
education,gender,47.0,0.98
education,clean,3.0,0.67
education,energy,9.0,0.89
education,work,63.0,0.98
education,industry,0.0,0.0
education,inequalities,0.0,0.0
education,cities,2.0,0.5
education,consumption,2.0,0.5
education,climate,132.0,0.99
education,water,50.0,0.98
education,land,48.0,0.98
education,peace,5.0,0.8
gender,clean,48.0,1.92
gender,energy,54.0,6.81
gender,work,108.0,26.41
gender,industry,0.0,0.0
gender,inequalities,0.0,0.0
gender,cities,47.0,0.98
gender,consumption,47.0,0.98
gender,climate,177.0,34.05
gender,water,95.0,23.73
gender,land,93.0,23.25
gender,peace,50.0,3.68
clean,energy,10.0,1.6
clean,work,64.0,1.94
clean,industry,0.0,0.0
clean,inequalities,0.0,0.0
clean,cities,3.0,0.67
clean,consumption,3.0,0.67
clean,climate,133.0,1.97
clean,water,51.0,1.92
clean,land,49.0,1.92
clean,peace,6.0,1.33
energy,work,70.0,7.09
energy,industry,0.0,0.0
energy,inequalities,0.0,0.0
energy,cities,9.0,0.89
energy,consumption,9.0,0.89
energy,climate,139.0,7.54
energy,water,57.0,6.88
energy,land,55.0,6.84
energy,peace,12.0,2.67
work,industry,0.0,0.0
work,inequalities,0.0,0.0
work,cities,63.0,0.98
work,consumption,63.0,0.98
work,climate,193.0,42.08
work,water,111.0,27.37
work,land,109.0,26.73
work,peace,66.0,3.76
industry,inequalities,0.0,0.0
industry,cities,0.0,0.0
industry,consumption,0.0,0.0
industry,climate,0.0,0.0
industry,water,0.0,0.0
industry,land,0.0,0.0
industry,peace,0.0,0.0
inequalities,cities,0.0,0.0
inequalities,consumption,0.0,0.0
inequalities,climate,0.0,0.0
inequalities,water,0.0,0.0
inequalities,land,0.0,0.0
inequalities,peace,0.0,0.0
cities,consumption,2.0,0.5
cities,climate,132.0,0.99
cities,water,50.0,0.98
cities,land,48.0,0.98
cities,peace,5.0,0.8
consumption,climate,132.0,0.99
consumption,water,50.0,0.98
consumption,land,48.0,0.98
consumption,peace,5.0,0.8
climate,water,180.0,35.66
climate,land,178.0,34.59
climate,peace,135.0,3.88
water,land,96.0,23.99
water,peace,53.0,3.7
land,peace,51.0,3.69
