"ID","PG","txt"
1,1,"INTERNATIONAL UNION FOR CONSERVATION OF NATURE ANNUAL REPORT 2016"
1,2,"International Union for Conservation of Nature"
1,3,"Contents 2 Message from the President and Director General 4 Overview of IUCN 6 Director Generals strategic orientations 2017 10 IUCN World Conservation Congress 2016 14 IUCN Programme 20172020 16 Global policy engagements 18 A Union of partnerships 19 IUCN 2016 outputs 20 Business 22 Climate change 24 Disaster risk reduction 26 Economics 28 Environmental law 30 Forests 32 Gender 34 Marine and polar 36 Protected areas 38 Science and knowledge 40 Social policy 42 Species 44 Water 46 World Heritage This is the first volume of the IUCN Annual Report for 2016 The financial statements which form an integral part of this report will be published as the second volume once they have been audited and approved by the IUCN Council Published by IUCN Gland Switzerland Design and layout by Miller Design Bristol United Kingdom Printed by Artgraphic Cavin SA Grandson Switzerland on FSCcertified paper © 2017 International Union for Conservation of Nature and Natural Resources"
1,4,"Message from the President and Director General Without a doubt 2016 was a momentous year for the Union A year when the conservation community came together in Hawaii to set the global conservation agenda for the next four years A year when membership grew to new heights In many ways the Union has never been so strong In 2016 we delivered an amazing World Conservation in Geneva and to President Obama who first Congress Amazing because the unprecedented endorsed the idea of hosting the IUCN Congress attendance diversity and enthusiasm of delegates in Hawaii and announced the extension of the provided for rich exchanges Amazing because the Papahanaumokuakea Marine National Monument breadth of new initiatives launched offered real solutions with a perfect sense of timing at the beginning of for tackling some of the worlds biggest problems the Congress Amazing because the use of electronic voting allowed the Members Assembly to focus on essential The IUCN Congress in September marked the business Amazing because unparalleled media beginning of an impressive lineup of international coverage provided deep relays for our message policy meetings in the second half of 2016 The Union including through its Members and The IUCN Congress achieved on many frontsWe are Commissions continued as ever to play a critical particularly enthusiastic about the decision to create a role in all these negotiations new category of membership for indigenous peoples The Hawaii Congress also marked the natural In Hawaii we also promoted the move to a culture renewal of our Council We would like to sincerely of conservation highlighting the role of spirituality and thank our outgoing Councillors for the incredible religion as well as the need for empowering youth support they have provided the Union over the We also recognised that the future of sustainability last four years We look forward to working with depends on tackling numerous challenges including the incoming Councillors in delivering the new food systems the health of oceans wildlife trafficking Programme 20172020 business engagement and climate change These will prove essential to navigate Planet Earth We are much indebted to the United States For the relentless dedication of the Host Committee which ensured that the spirit of Aloha prevailed for the strong diplomatic relays including by Ambassador Hamamoto Zhang Xinsheng Inger Andersen 2 | IUCN 2016 ANNUAL REPORT"
1,5,"President Zhang Xinsheng and Director General Inger Andersen discuss on the floor of the Members Assembly during the IUCN World Conservation Congress 2016 in Hawaii USA THE FUTURE OF SUSTAINABILITY DEPENDS ON TACKLING NUMEROUS CHALLENGES INCLUDING FOOD SYSTEMS THE HEALTH OF OCEANS WILDLIFE TRAFFICKING BUSINESS ENGAGEMENT AND CLIMATE CHANGE IUCN 2016 ANNUAL REPORT | 3"
1,6,"Overview of IUCN IUCN is a membership Union uniquely composed of both government and civil society organisations It provides public private and nongovernmental organisations with the knowledge and tools that enable human progress economic development and nature conservation to take place together Created in 1948 IUCN has evolved into the worlds IUCNs expertise and extensive network provide a largest and most diverse environmental network solid foundation for a large and diverse portfolio of conservation projects around the world Combining It harnesses the experience resources and reach of its the latest science with the traditional knowledge of more than 1300 Member organisations and the input local communities these projects work to reverse habitat loss restore ecosystems and improve peoples of some 16000 experts wellbeing They also produce a wealth of data and information which feeds into IUCNs analytical capacity IUCN is the global authority on the status of the natural world and the measures needed to safeguard it Our Through their affiliation with IUCN Member organisations experts are organised into six Commissions dedicated are part of a democratic process voting Resolutions to species survival environmental law protected areas which drive the global conservation agenda They social and economic policy ecosystem management meet every four years at the IUCN World Conservation and education and communication Congress to set priorities and agree on the Unions work programme IUCN congresses have produced The ability to convene diverse stakeholders and several key international environmental agreements provide the latest science objective recommendations including the Convention on Biological Diversity CBD and ontheground expertise drives IUCNs mission the Convention on International Trade in Endangered of informing and empowering conservation efforts Species CITES the World Heritage Convention and worldwide We provide a neutral forum in which the Ramsar Convention on wetlands We continue to governments NGOs scientists businesses local help these conventions strengthen and evolve so that communities indigenous peoples groups faithbased they can respond to emerging challenges organisations and others can work together to forge and implement solutions to environmental challenges Our Member organisations are represented by the IUCN Council the governing body Headquartered in By facilitating these solutions IUCN provides Switzerland IUCN Secretariat comprises around 950 governments and institutions at all levels with staff in more than 50 countries the impetus to achieve universal goals including on biodiversity climate change and sustainable development which IUCN was instrumental in defining Combined our knowledge base and diverse membership Members make IUCN an incubator and trusted repository of best IUCN harnesses the knowledge resources and practices conservation tools and international reach of over 1300 Member organisations from guidelines and standards As the only environmental 163 countries These include States government organisation with official United Nations Observer agencies nongovernmental organisations NGOs and Status IUCN ensures that nature conservation has a indigenous peoples organisations In 2016 98 new voice at the highest level of international governance Members were admitted to the Union with the NGO 4 | IUCN 2016 ANNUAL REPORT"
1,7,"Statutory Regions Africa Meso and South America North America and the Caribbean South and East Asia West Asia Oceania East Europe North and Central Asia Headquarters Regional offices National offices West Europe sector accounting for the largest percentage of the growth State membership increased with the addition Commissions of Rwanda and Government agency membership of the Union remained stable IUCNs Commissions unite 16000 experts from a range of disciplines IUCN Members within a country or region may choose to organise themselves into National and Regional They assess the state of the worlds Committees to facilitate cooperation among Members natural resources and provide the and with other parts of the Union There are currently Union with sound knowhow and 62 officially recognised National Committees and seven recognised Regional Committees policy advice on conservation issues Committees of IUCN Members 2016 Statutory Region National Regional Africa 16 2 Meso and South America 14 2 North America and the 2 1 Caribbean South and East Asia 9 1 West Asia1 5 1 Oceania 2 East Europe North and 3 Central Asia West Europe 11 Total 62 7 IUCN 2016 ANNUAL REPORT | 5"
1,8,"Director Generals strategic orientations 2017 In many ways 2016 was a As a community we pushed for and achieved many victories in 2016 The Paris Agreement on climate remarkable year which provides change entered into force in a record time The a solid footing for a successful extension of the Papahanaumokuakea Marine National Monument in the United States and the creation of 2017 We have every reason to be the Ross Sea protected area in Antarctica represent proud of our accomplishments major milestones towards safeguarding vital marine Every reason to be upbeat Every ecosystems Five years after its launch the Bonn Challenge is within close reach of achieving its target reason to be confident in our ability to restore 150 million hectares of degraded and to ensure that conservation deforested land by 2020 These achievements should imperatives will prevail and will be be celebrated mainstreamed into sectors beyond What better way to illustrate this dynamism than to our traditional community look back at the IUCN Congress in Hawaii which was attended by more delegates and more countries than ever before This was a Congress which promoted youth and celebrated gender equality This was a Congress which opened up to the world as never IUCN Council 20122016 at the IUCN World Conservation Congress 2016 6 | IUCN 2016 ANNUAL REPORT"
1,9,"before engaging with faith communities as well as A major focus in 2017 will be to develop our portfolio business The ambitious Programme 20172020 of Green Climate Fund projects following successful adopted by Members exploits IUCNs strengths it accreditation in 2016 This will help to significantly takes advantage of the Unions knowledge embedded bolster IUCNs ability to support governments in to a large extent in its Commissions of experts and implementing naturebased solutions to climate reaches to move recent international agreements into change at scale concrete action In Hawaii a new category of membership was also created promising to boost In 2017 efforts will be targeted towards further support for indigenous peoples rights around the world consolidating coordinating and strengthening our work on climate change more generally Yet at the same time the world is more perilous than ever In many ways we are heading into uncharted We will also look to the launch of a new territories in 2017 with many uncertainties looming over key aspects of security and multilateralism as initiative to recognise and expand best well as regional organisation How these uncertainties practice on naturebased solutions to will unfold is likely to have a profound impact on an climate change by COP23 together with already fragile environmental outlook key partners including the UNFCCC It is thus with a sense of accomplishment but mindful of the challenging times ahead of us that I revisit for Assessing food systems the purpose of 2017 the strategic orientations I had Food systems are the secondlargest driver of canvassed a year ago species extinction the source of onethird of soil degradation and over onefifth of greenhouse gas emissions Despite 30 of all food produced being lost Delivering on naturebased or wasted 800 million people in the world still suffer solutions to climate change from undernourishment Conversely an estimated Building on our major investments into the UNFCCCs 41 million children under the age of five are considered COP21 IUCN continued to champion naturebased overweight or obese The future of sustainability will be solutions to climate change in 2016 A welcome very much constrained by the future of food systems breakthrough last year was the clear recognition of naturebased solutions within the Global Climate In 2016 IUCN stepped up the integration of agriculture Action process at UNFCCC COP22 and the into its work priorities At the Members Assembly in incorporation of natural systems within the Marrakech September a strategic session examined the challenge Partnership for Global Climate Action There is every of conserving nature in the face of industrial agriculture indication that this will continue to be a key component In partnership with the Global Environment Facility of the climate action agenda going forward GEF IUCN also convened and organised a series of events around the Global Commons which explored The IUCN Congress brought together some of the how to transform food systems On the margins of the worlds leading public figures to deliberate on this climate COP in Marrakech IUCN joined the 4 per 1000 topic including the Prime Minister of Tuvalu the Executive Secretary of the UNFCCC and the French Ambassador for the Environment representing the COP21 Presidency In Hawaii vibrant themed journeys focusing on climate change and naturebased solutions also showcased the breadth of expertise and energy that can be further mobilised There have been ample reminders over the last year of the need to further amplify action to combat climate change and its impacts Ahead of COP22 the World Meteorological Organization announced that 2016 would likely be the hottest year on record breaking the previous record of 2015 World Bank analysis released for Marrakech also showed that natural disasters push 26 million people into poverty every year Increasing attention is also being drawn today by military and US President Barack Obama greets IUCN President Zhang Xinsheng national security experts to the risks that climate and IUCN Director General Inger Andersen ahead of the IUCN World change poses to international peace and stability Conservation Congress 2016 in Hawaii USA IUCN 2016 ANNUAL REPORT | 7"
1,10,"initiative to help restore soil carbon increase Private Investment in Conservation This aims to agricultural productivity and maintain soil increase finance sector awareness of naturebased biodiversity solutions as business opportunities These activities have in common the need for metrics on the status of In 2017 IUCN will further contribute biodiversity and the impacts of investment on them to examining how to change food In 2017 efforts will be geared towards reorganising production patterns in order to systemising and deepening our analytical potential eradicate poverty while preserving around a limited number of priority areas including ecosystems and remaining within our natural capital We will in this regard enhance and redeploy our economics capacity planetary boundaries Our agriculture strategy will also look into supporting Preparing IUCN for the future a comprehensive assessment of food systems 2016 was characterised by a profound evolution of our donor landscape On the one side the flow of Understanding and investing refugees from Syria Afghanistan and Iraq continued to present donor countries with an immediate moral in natural capital and humanitarian crisis which could not be ignored Equipping IUCN for tomorrows conversations This follows 13 million migrants who applied for requires investing in the scaling up of natural asylum in 2015 in Europe As a consequence a capital approaches significant budgetary readjustment including of Official Development Assistance ODA funds took place to In 2016 IUCN continued to actively contribute to accommodate the expenses associated with incoming the development of guidance for companies to refugees and migrants better integrate the value of nature into decision making particularly in the food beverage and The external context remains volatile apparel sectors Natural capital also took centre stage at the IUCN World Conservation Congress In the US a new government has taken office with In addition to a resolution on the topic the IUCN new policy directions to be revealed while in Europe Congress saw the launch of the Coalition for where IUCN generates most of its revenues political change will also impact the environment in which the organisation operates a number of key elections are upcoming while Brexit will also bring new scenarios to which IUCN will have to adjust A roadmap reflecting this context was developed with staff throughout the organisation and will be rolled out starting in 2017 This will serve to place IUCN on an even more relevant and stable course by the time we celebrate the organisations seventieth anniversary in 2018 In doing so we will build on some very solid foundations including a very healthy and expanding project portfolio Stephan Opitz Director General for Policy and Latin America Region German Development Bank KfW and IUCN Director General sign a Memorandum of Cooperation April 2016 8 | IUCN 2016 ANNUAL REPORT"
